Symbol,Name,Outstanding,IPO Year,Sector,Industry
AAP,Advance Auto Parts Inc.,59443850,,Consumer Discretionary,Auto & Home Supply Stores
AAPL,Apple Inc. Common Stock,15634232000,1980,Technology,Computer Manufacturing
AAT,American Assets Trust Inc. Common Stock,60724629,2011,Real Estate,Real Estate Investment Trusts
AAU,Almaden Minerals Ltd. Common Shares,137221406,2015,Miscellaneous,Miscellaneous
AB,AllianceBernstein Holding L.P.  Units,113555479,,Finance,Investment Managers
ABBV,AbbVie Inc. Common Stock,1765046679,2012,Health Care,Biotechnology: Pharmaceutical Preparations
ABC,AmerisourceBergen Corporation Common Stock,202174856,,Health Care,Other Pharmaceuticals
ABCB,Ameris Bancorp Common Stock,69139288,1994,Finance,Major Banks
ABCL,AbCellera Biologics Inc. Common Shares,288728100,2020,Health Care,Biotechnology: Pharmaceutical Preparations
ABCM,Abcam plc American Depositary Shares,229271906,2020,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ABEO,Abeona Therapeutics Inc. Common Stock,24755872,,Health Care,Biotechnology: Pharmaceutical Preparations
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),15750216851,2013,Consumer Staples,Beverages (Production/Distribution)
ABG,Asbury Automotive Group Inc Common Stock,20575181,2002,Consumer Discretionary,Other Specialty Stores
ABIO,ARCA biopharma Inc. Common Stock,14410142,,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ABL,Abacus Life Inc. Class A Common Stock,0,2020,Finance,Investment Managers
ABLLW,Abacus Life Inc. Warrant,0,2020,Finance,Investment Managers
ABM,ABM Industries Incorporated Common Stock,66146030,,Finance,Diversified Commercial Services
ABNB,Airbnb Inc. Class A Common Stock,647283632,2020,Consumer Discretionary,Hotels/Resorts
ABOS,Acumen Pharmaceuticals Inc. Common Stock,57868512,2021,Health Care,Biotechnology: Pharmaceutical Preparations
ABR,Arbor Realty Trust Common Stock,186501975,2004,Real Estate,Real Estate Investment Trusts
ABR^D,Arbor Realty Trust 6.375% Series D Cumulative Redeemable Preferred Stock Liquidation Preference $25.00 per Share,-1,,Miscellaneous,Miscellaneous
ABR^E,Arbor Realty Trust 6.25% Series E Cumulative Redeemable Preferred Stock,-1,,Miscellaneous,Miscellaneous
ABR^F,Arbor Realty Trust 6.25% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock Liquidation Preference $25.00 per share,-1,,Miscellaneous,Miscellaneous
ABSI,Absci Corporation Common Stock,92503339,2021,Health Care,Biotechnology: Pharmaceutical Preparations
ABT,Abbott Laboratories Common Stock,1735357980,,Health Care,Biotechnology: Pharmaceutical Preparations
ABUS,Arbutus Biopharma Corporation Common Stock,167556660,,Health Care,Biotechnology: Pharmaceutical Preparations
ABVC,ABVC BioPharma Inc. Common Stock,3308073,,Health Care,Biotechnology: Pharmaceutical Preparations
AC,Associated Capital Group Inc. Common Stock,21886664,2015,Finance,Investment Bankers/Brokers/Service
ACA,Arcosa Inc. Common Stock ,48761753,2018,Industrials,Metal Fabrications
ACAB,Atlantic Coastal Acquisition Corp. II Class A Common Stock,0,2022,Finance,Blank Checks
ACAD,ACADIA Pharmaceuticals Inc. Common Stock,163728859,1985,Health Care,Biotechnology: Pharmaceutical Preparations
ACAH,Atlantic Coastal Acquisition Corp. Class A Common Stock,0,2021,Finance,Blank Checks
ACAHW,Atlantic Coastal Acquisition Corp. Warrant,0,2021,Finance,Blank Checks
ACAQ,Athena Consumer Acquisition Corp. Class A Common Stock,0,2021,Finance,Blank Checks
ACB,Aurora Cannabis Inc. Common Shares,353769188,,Health Care, Medicinal Chemicals and Botanical Products 
ACBA,Ace Global Business Acquisition Limited Ordinary Shares,3789547,2021,Consumer Discretionary,Business Services
ACBAU,Ace Global Business Acquisition Limited Unit,0,2021,Consumer Discretionary,Business Services
ACCD,Accolade Inc. Common Stock,73634039,2020,Consumer Discretionary,Business Services
ACCO,Acco Brands Corporation Common Stock,94917370,,Consumer Discretionary,Publishing
ACDC,ProFrac Holding Corp. Class A Common Stock,12827306,2022,Energy,Oilfield Services/Equipment
ACDCW,ProFrac Holding Corp. Warrant,12827230,,Energy,Oilfield Services/Equipment
ACEL,Accel Entertainment Inc. ,85615804,2017,Consumer Discretionary,Services-Misc. Amusement & Recreation
ACER,Acer Therapeutics Inc. Common Stock (DE),24300073,,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACET,Adicet Bio Inc. Common Stock ,43066157,2018,Health Care,Biotechnology: Pharmaceutical Preparations
ACGL,Arch Capital Group Ltd. Common Stock,372954263,,Finance,Property-Casualty Insurers
ACGLN,Arch Capital Group Ltd. Depositary Shares each Representing a 1/1000th Interest in a 4.550% Non-Cumulative Preferred Share Series G,372954263,,Finance,Property-Casualty Insurers
ACGLO,Arch Capital Group Ltd. Depositary Shares Each Representing 1/1000th Interest in a Share of 5.45% Non-Cumulative Preferred Shares Series F,372954262,,Finance,Property-Casualty Insurers
ACGN,Aceragen Inc. Common Stock,8423504,,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACHC,Acadia Healthcare Company Inc. Common Stock,92171757,,Health Care,Medical Specialities
ACHL,Achilles Therapeutics plc American Depositary Shares,40932727,2021,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACHR,Archer Aviation Inc. Class A Common Stock,247447461,2020,Industrials,Aerospace
ACHV,Achieve Life Sciences Inc. Common Shares,18040760,,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ACI,Albertsons Companies Inc. Class A Common Stock,575679400,2020,Consumer Staples,Food Chains
ACIU,AC Immune SA Common Stock,83620000,2016,Health Care,Biotechnology: Pharmaceutical Preparations
ACIW,ACI Worldwide Inc. Common Stock,108595441,,Technology,EDP Services
ACLS,Axcelis Technologies Inc. Common Stock,32817463,2000,Technology,Industrial Machinery/Components
ACLX,Arcellx Inc. Common Stock,47993519,2022,Health Care,Biotechnology: Pharmaceutical Preparations
ACM,AECOM Common Stock,138998785,2007,Consumer Discretionary,Military/Government/Technical
ACMR,ACM Research Inc. Class A Common Stock,60022515,2017,Technology,Industrial Machinery/Components
ACN,Accenture plc Class A Ordinary Shares (Ireland),662934315,2001,Consumer Discretionary,Business Services
ACNB,ACNB Corporation Common Stock,8564281,,Finance,Major Banks
ACNT,Ascent Industries Co. Common Stock,10162678,,Industrials,Steel/Iron Ore
ACON,Aclarion Inc. Common Stock,7861514,2022,Technology,Retail: Computer Software & Peripheral Equipment
ACONW,Aclarion Inc. Warrant,7861508,2022,Technology,Retail: Computer Software & Peripheral Equipment
ACOR,Acorda Therapeutics Inc. Common Stock,1242097,2006,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACP,abrdn Income Credit Strategies Fund Common Shares,0,2011,Finance,Investment Managers
ACP^A,abrdn Income Credit Strategies Fund 5.250% Series A Perpetual Preferred Stock,-1,,Miscellaneous,Miscellaneous
ACR,ACRES Commercial Realty Corp. Common Stock,8491979,,Real Estate,Real Estate Investment Trusts
ACR^C,ACRES Commercial Realty Corp. 8.625% Fixed-to-Floating Series C Cumulative Redeemable Preferred Stock ,-1,,Miscellaneous,Miscellaneous
ACR^D,ACRES Commercial Realty Corp. 7.875% Series D Cumulative Redeemable Preferred Stock,-1,,Miscellaneous,Miscellaneous
ACRE,Ares Commercial Real Estate Corporation Common Stock,54136273,2012,Real Estate,Real Estate Investment Trusts
ACRO,Acropolis Infrastructure Acquisition Corp. Class A Common Stock,0,2021,Finance,Blank Checks
ACRS,Aclaris Therapeutics Inc. Common Stock,70794641,2015,Health Care,Biotechnology: Pharmaceutical Preparations
ACRV,Acrivon Therapeutics Inc. Common Stock,21925982,2022,Health Care, Medicinal Chemicals and Botanical Products 
ACRX,AcelRx Pharmaceuticals Inc. Common Stock,10924293,2011,Health Care,Biotechnology: Pharmaceutical Preparations
ACST,Acasti Pharma Inc. Class A Common Stock,44612830,,Health Care,Pharmaceuticals and Biotechnology
ACT,Enact Holdings Inc. Common Stock,159993787,2021,Finance,Specialty Insurers
ACTG,Acacia Research Corporation (Acacia Tech) Common Stock,99886322,,Miscellaneous,Multi-Sector Companies
ACU,Acme United Corporation. Common Stock,3568005,1988,Consumer Discretionary,Industrial Machinery/Components
ACV,Virtus Diversified Income & Convertible Fund Common Shares of Beneficial Interest,10362953,2015,Finance,Finance/Investors Services
ACVA,ACV Auctions Inc. Class A Common Stock,160757757,2021,Consumer Discretionary,Business Services
ACXP,Acurx Pharmaceuticals Inc. Common Stock,11671794,2021,Health Care,Biotechnology: Pharmaceutical Preparations
ADAG,Adagene Inc. American Depositary Shares,43252567,2021,Health Care,Biotechnology: Pharmaceutical Preparations
ADAP,Adaptimmune Therapeutics plc American Depositary Shares,226171991,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADBE,Adobe Inc. Common Stock,458700000,1986,Technology,Computer Software: Prepackaged Software
ADC,Agree Realty Corporation Common Stock,96268890,,Real Estate,Real Estate Investment Trusts
ADC^A,Agree Realty Corporation Depositary Shares each representing 1/1000th of a 4.250% Series A Cumulative Redeemable Preferred Stock,-1,,Miscellaneous,Miscellaneous
ADCT,ADC Therapeutics SA Common Shares,80642530,2020,Health Care,Biotechnology: Pharmaceutical Preparations
ADD,Color Star Technology Co. Ltd. Class A Ordinary Shares,9570000,,Consumer Discretionary,Engineering & Construction
ADEA,Adeia Inc. Common Stock,106753387,2003,Technology,Semiconductors
ADER,26 Capital Acquisition Corp. Class A Common Stock,0,2021,Finance,Blank Checks
ADERW,26 Capital Acquisition Corp. Warrant,0,2021,Finance,Blank Checks
ADES,Advanced Emissions Solutions Inc. Common Stock,32748507,,Industrials,Major Chemicals
ADEX,Adit EdTech Acquisition Corp. Common Stock,9367422,2021,Technology,EDP Services
ADI,Analog Devices Inc. Common Stock,501418304,,Technology,Semiconductors
ADIL,Adial Pharmaceuticals Inc Common Stock,1259334,2018,Health Care,Biotechnology: Pharmaceutical Preparations
ADM,Archer-Daniels-Midland Company Common Stock,536101642,,Consumer Staples,Packaged Foods
ADMA,ADMA Biologics Inc Common Stock,222272962,,Health Care,Biotechnology: Pharmaceutical Preparations
ADMP,Adamis Pharmaceuticals Corporation Common Stock,2788290,,Health Care,Biotechnology: Pharmaceutical Preparations
ADN,Advent Technologies Holdings Inc. Class A Common Stock,52897235,2018,Utilities,Power Generation
ADNT,Adient plc Ordinary Shares ,93656684,2016,Consumer Discretionary,Auto Parts:O.E.M.
ADNWW,Advent Technologies Holdings Inc. Warrant,52897240,2018,Miscellaneous,Industrial Machinery/Components
ADOC,Edoc Acquisition Corp. Class A Ordinary Share,0,2020,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADOCW,Edoc Acquisition Corp. Warrant,0,2020,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADP,Automatic Data Processing Inc. Common Stock,411986869,,Technology,EDP Services
ADPT,Adaptive Biotechnologies Corporation Common Stock,144645117,2019,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADRT,Ault Disruptive Technologies Corporation Common Stock,14375000,2022,Finance,Blank Checks
ADSE,ADS-TEC ENERGY PLC Ordinary Shares,48880000,,Consumer Discretionary,Industrial Specialties
ADSEW,ADS-TEC ENERGY PLC Warrant,48877162,,Consumer Discretionary,Industrial Specialties
ADSK,Autodesk Inc. Common Stock,213726418,,Technology,Computer Software: Prepackaged Software
ADT,ADT Inc. Common Stock,921583745,2018,Consumer Discretionary,Diversified Commercial Services
ADTH,AdTheorent Holding Company Inc. Common Stock,88204934,2021,Consumer Discretionary,Advertising
ADTHW,AdTheorent Holding Company Inc. Warrants,88204929,2021,Consumer Discretionary,Advertising
ADTN,ADTRAN Holdings Inc. Common Stock,78655332,1994,Utilities,Telecommunications Equipment
ADTX,Aditxt Inc. Common Stock,6760064,2020,Health Care,Biotechnology: Pharmaceutical Preparations
ADUS,Addus HomeCare Corporation Common Stock,16214652,2009,Health Care,Medical/Nursing Services
ADV,Advantage Solutions Inc. Class A Common Stock,324549448,2019,Consumer Discretionary,Business Services
ADVM,Adverum Biotechnologies Inc. Common Stock,100574949,2014,Health Care,Biotechnology: Pharmaceutical Preparations
ADVWW,Advantage Solutions Inc. Warrant,324549450,2019,Consumer Discretionary,Business Services
ADX,Adams Diversified Equity Fund Inc.,0,,Finance,Investment Managers
ADXN,Addex Therapeutics Ltd American Depositary Shares,12855670,,Health Care,Biotechnology: Pharmaceutical Preparations
AE,Adams Resources & Energy Inc. Common Stock,2534685,1980,Energy,Oil Refining/Marketing
AEAE,AltEnergy Acquisition Corp. Class A Common Stock,0,2021,Finance,Blank Checks
AEAEW,AltEnergy Acquisition Corp. Warrant,0,2021,Finance,Blank Checks
AEE,Ameren Corporation Common Stock,262749535,,Utilities,Power Generation
AEF,abrdn Emerging Markets Equity Income Fund Inc. Common Stock,107362500,,Finance,Finance/Investors Services
AEFC,Aegon Funding Company LLC 5.10% Subordinated Notes due 2049,0,2019,Miscellaneous,Miscellaneous
AEG,AEGON N.V. Common Stock,2655626308,,Finance,Life Insurance
AEHL,Antelope Enterprise Holdings Limited Class A Ordinary Shares,17990000,,Consumer Discretionary,Building Products
AEHR,Aehr Test Systems Common Stock,28338208,1997,Industrials,Electrical Products
AEI,Alset Inc. Common Stock (TX),9235119,2020,Real Estate,Building operators
AEIS,Advanced Energy Industries Inc. Common Stock,37651044,1995,Technology,Industrial Machinery/Components
AEL,American Equity Investment Life Holding Company Common Stock,77941256,2003,Finance,Life Insurance
AEL^A,American Equity Investment Life Holding Company Depositary Shares each representing a 1/1000th interest in a share of 5.95% Fixed-Rate Reset Non-Cumulative Preferred Stock Series A,-1,,Miscellaneous,Miscellaneous
AEL^B,American Equity Investment Life Holding Company Depositary Shares each representing a 1/1000th interest in a share of 6.625% Fixed-Rate Reset Non-Cumulative Preferred Stock Series B,-1,,Miscellaneous,Miscellaneous
AEM,Agnico Eagle Mines Limited Common Stock,494864207,,Basic Materials,Precious Metals
AEMD,Aethlon Medical Inc. Common Stock,22969348,,Health Care,Medical/Dental Instruments
AENT,Alliance Entertainment Holding Corporation Class A Common Stock,50502170,,Consumer Discretionary,Durable Goods
AENTW,Alliance Entertainment Holding Corporation Warrants,50502162,,Consumer Discretionary,Durable Goods
AENZ,Aenza S.A.A. American Depositary Shares,79798665,2018,Industrials,Engineering & Construction
AEO,American Eagle Outfitters Inc. Common Stock,197451466,,Consumer Discretionary,Clothing/Shoe/Accessory Stores
AEON,AEON Biopharma Inc. Class A Common Stock,0,,Health Care,Biotechnology: Pharmaceutical Preparations
AEP,American Electric Power Company Inc. Common Stock,515176044,,Utilities,Electric Utilities: Central
AEPPZ,American Electric Power Company Inc. Corporate Units,515176043,,Utilities,Electric Utilities: Central
AER,AerCap Holdings N.V. Ordinary Shares,245931274,2006,Consumer Discretionary,Diversified Commercial Services
AES,The AES Corporation Common Stock,669629034,,Utilities,Electric Utilities: Central
AESC,The AES Corporation Corporate Units,669629035,,Utilities,Electric Utilities: Central
AESI,Atlas Energy Solutions Inc. Class A Common Stock,100000000,2023,Industrials,Metal Fabrications
AEVA,Aeva Technologies Inc. Common Stock,220360888,2020,Consumer Discretionary,Auto Parts:O.E.M.
AEY,ADDvantage Technologies Group Inc. Common Stock,14860857,,Industrials,Office Equipment/Supplies/Services
AEYE,AudioEye Inc. Common Stock,11709195,,Technology,EDP Services
AEZS,Aeterna Zentaris Inc. Common Stock,4855876,,Health Care,Biotechnology: Pharmaceutical Preparations
AFAR,Aura FAT Projects Acquisition Corp Class A Ordinary Shares,0,2022,Finance,Blank Checks
AFARW,Aura FAT Projects Acquisition Corp Warrant,0,2022,Finance,Blank Checks
AFB,AllianceBernstein National Municipal Income Fund Inc,0,2002,Finance,Trusts Except Educational Religious and Charitable
AFBI,Affinity Bancshares Inc. Common Stock (MD),6535050,2017,Finance,Major Banks
AFCG,AFC Gamma Inc. Common Stock,20457696,2021,Real Estate,Real Estate Investment Trusts
AFG,American Financial Group Inc. Common Stock,84863650,,Finance,Property-Casualty Insurers
AFGB,American Financial Group Inc. 5.875% Subordinated Debentures due 2059,84863650,2019,Finance,Property-Casualty Insurers
AFGC,American Financial Group Inc. 5.125% Subordinated Debentures due 2059,84863650,2019,Finance,Property-Casualty Insurers
AFGD,American Financial Group Inc. 5.625% Subordinated Debentures due 2060,84863650,2020,Finance,Property-Casualty Insurers
AFGE,American Financial Group Inc. 4.500% Subordinated Debentures due 2060,84863650,2020,Finance,Property-Casualty Insurers
AFIB,Acutus Medical Inc. Common Stock,29259086,2020,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
AFL,AFLAC Incorporated Common Stock,594062477,,Finance,Accident &Health Insurance
AFMD,Affimed N.V.,149340000,2014,Health Care,Biotechnology: Pharmaceutical Preparations
AFRI,Forafric Global PLC Ordinary Shares,26880000,,Consumer Staples,Packaged Foods
AFRIW,Forafric Global PLC Warrants,56879092,,Consumer Staples,Packaged Foods
AFRM,Affirm Holdings Inc. Class A Common Stock,295685526,2021,Consumer Discretionary,Business Services
AFT,Apollo Senior Floating Rate Fund Inc. Common Stock,0,2011,Finance,Investment Managers
AFTR,AfterNext HealthTech Acquisition Corp. Class A Ordinary Shares,0,2021,Finance,Blank Checks
AFYA,Afya Limited Class A Common Shares,93722829,2019,Consumer Discretionary,Educational Services
AG,First Majestic Silver Corp. Ordinary Shares (Canada),272577979,,Basic Materials,Precious Metals
AGAC,African Gold Acquisition Corporation Class A Ordinary Shares,0,2021,Finance,Blank Checks
AGAE,Allied Gaming & Entertainment Inc. Common Stock,37398119,2017,Consumer Discretionary,Services-Misc. Amusement & Recreation
AGBA,AGBA Group Holding Limited Ordinary Share,62850897,2019,Finance,Investment Managers
AGBAW,AGBA Group Holding Limited Warrant,62850900,2019,Finance,Investment Managers
AGCO,AGCO Corporation Common Stock,74864170,,Industrials,Industrial Machinery/Components
AGD,abrdn Global Dynamic Dividend Fund Common Shares of Beneficial Interest,0,2006,Finance,Trusts Except Educational Religious and Charitable
AGE,AgeX Therapeutics Inc. Common Stock,37951260,2018,Health Care,Biotechnology: Pharmaceutical Preparations
AGEN,Agenus Inc. Common Stock,379572186,2000,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AGFY,Agrify Corporation Common Stock,1622946,2021,Consumer Discretionary,Military/Government/Technical
AGI,Alamos Gold Inc. Class A Common Shares,396026271,2015,Basic Materials,Precious Metals
AGIL,AgileThought Inc. Class A Common Stock,50041843,2020,Technology,EDP Services
AGIO,Agios Pharmaceuticals Inc. Common Stock,55739306,2013,Health Care,Biotechnology: Pharmaceutical Preparations
AGL,agilon health inc. Common Stock,405482130,2021,Health Care,Managed Health Care
AGLE,Aeglea BioTherapeutics Inc. Common Stock,65395160,2016,Health Care,Biotechnology: Pharmaceutical Preparations
AGM,Federal Agricultural Mortgage Corporation Common Stock,10837017,,Finance,Finance Companies
AGM^C,Federal Agricultural Mortgage Corporation Preferred Series C Fixed to Fltg,-1,,Miscellaneous,Miscellaneous
AGM^D,Federal Agricultural Mortgage Corporation 5.700% Non-Cumulative Preferred Stock Series D,-1,,Miscellaneous,Miscellaneous
AGM^E,Federal Agricultural Mortgage Corporation 5.750% Non-Cumulative Preferred Stock Series E,-1,,Miscellaneous,Miscellaneous
AGM^F,Federal Agricultural Mortgage Corporation 5.250% Non-Cumulative Preferred Stock Series F,-1,,Miscellaneous,Miscellaneous
AGM^G,Federal Agricultural Mortgage Corporation 4.875% Non-Cumulative Preferred Stock Series G,-1,,Miscellaneous,Miscellaneous
AGMH,AGM Group Holdings Inc. Class A Ordinary Shares,24250000,2018,Technology,EDP Services
AGNC,AGNC Investment Corp. Common Stock,606077370,2008,Real Estate,Real Estate Investment Trusts
AGNCL,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.75% Series G Fixed-Rate Reset Cumulative Redeemable Preferred Stock,606077370,,Real Estate,Real Estate Investment Trusts
AGNCM,AGNC Investment Corp. Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock,606077369,,Real Estate,Real Estate Investment Trusts
AGNCN,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock,606077369,,Real Estate,Real Estate Investment Trusts
AGNCO,AGNC Investment Corp. Depositary Shares each representing a 1/1000th interest in a share of 6.50% Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock,606077369,,Real Estate,Real Estate Investment Trusts
AGNCP,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,606077370,,Real Estate,Real Estate Investment Trusts
AGO,Assured Guaranty Ltd. Common Stock,59341057,2004,Finance,Property-Casualty Insurers
AGR,Avangrid Inc. Common Stock,386770915,2015,Utilities,Electric Utilities: Central
AGRI,AgriFORCE  Growing Systems Ltd. Common Shares,38142770,2021,Miscellaneous,Miscellaneous
AGRIW,AgriFORCE  Growing Systems Ltd. Warrant,38142777,2021,Miscellaneous,Miscellaneous
AGRO,Adecoagro S.A. Common Shares,108191218,2011,Consumer Staples,Farming/Seeds/Milling
AGRX,Agile Therapeutics Inc. Common Stock,1926509,2014,Health Care,Biotechnology: Pharmaceutical Preparations
AGS,PlayAGS Inc. Common Stock,38034662,2018,Consumer Discretionary,Miscellaneous manufacturing industries
AGTI,Agiliti Inc. Common Stock,134460244,2021,Health Care,Managed Health Care
AGX,Argan Inc. Common Stock,13410644,,Consumer Discretionary,Engineering & Construction
AGYS,Agilysys Inc. Common Stock (DE),25353917,,Technology,EDP Services
AHCO,AdaptHealth Corp. Common Stock,136106010,2018,Health Care,Medical/Nursing Services
AHG,Akso Health Group ADS,22866017,2017,Finance,Finance: Consumer Services
AHH,Armada Hoffler Properties Inc. Common Stock,67938793,2013,Real Estate,Real Estate Investment Trusts
AHH^A,Armada Hoffler Properties Inc. 6.75% Series A Cumulative Redeemable Perpetual Preferred Stock,-1,,Miscellaneous,Miscellaneous
AHI,Advanced Health Intelligence Ltd. American Depositary Shares,28039999,2021,Consumer Discretionary,Package Goods/Cosmetics
AHL^C,Aspen Insurance Holdings Limited 5.95% Fixed-to-Floating Rate Perpetual Non-Cumulative Preference Shares,-1,,Miscellaneous,Miscellaneous
AHL^D,Aspen Insurance Holdings Limited 5.625% Perpetual Non-Cumulative Preference Shares,-1,,Miscellaneous,Miscellaneous
AHL^E,Aspen Insurance Holdings Limited Depositary Shares each representing a 1/1000th interest in a share of 5.625% Perpetual Non-Cumulative Preference Shares,-1,,Miscellaneous,Miscellaneous
AHT,Ashford Hospitality Trust Inc Common Stock,34477952,2003,Real Estate,Real Estate Investment Trusts
AHT^D,Ashford Hospitality Trust Inc 8.45% Series D Cumulative Preferred Stock,-1,,Miscellaneous,Miscellaneous
AHT^F,Ashford Hospitality Trust Inc 7.375% Series F Cumulative Preferred Stock,-1,,Miscellaneous,Miscellaneous
AHT^G,Ashford Hospitality Trust Inc 7.375% Series G Cumulative Preferred Stock,-1,,Miscellaneous,Miscellaneous
AHT^H,Ashford Hospitality Trust Inc 7.50% Series H Cumulative Preferred Stock,-1,,Miscellaneous,Miscellaneous
AHT^I,Ashford Hospitality Trust Inc 7.50% Series I Cumulative Preferred Stock,-1,,Miscellaneous,Miscellaneous
AI,C3.ai Inc. Class A Common Stock,112209724,2020,Technology,Computer Software: Prepackaged Software
AIB,AIB Acquisition Corporation Class A Ordinary Shares,0,2022,Finance,Blank Checks
AIC,Arlington Asset Investment Corp 6.750% Notes due 2025,28360446,2015,Real Estate,Real Estate Investment Trusts
AIF,Apollo Tactical Income Fund Inc. Common Stock,0,2013,Finance,Finance Companies
AIG,American International Group Inc. New Common Stock,711899624,,Finance,Life Insurance
AIG^A,American International Group Inc. Depositary Shares Each Representing a 1/1000th Interest in a Share of Series A 5.85% Non-Cumulative Perpetual Preferred Stock,-1,,Miscellaneous,Miscellaneous
AIH,Aesthetic Medical International Holdings Group Ltd. American Depositary Shares,31348246,2019,Health Care,Medical Specialities
AIHS,Senmiao Technology Limited Common Stock,7993039,2018,Finance,Finance: Consumer Services
AIM,AIM ImmunoTech Inc. Common Stock,48408294,1997,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AIMBU,Aimfinity Investment Corp. I Subunit,0,2022,Finance,Blank Checks
AIMD,Ainos Inc. Common Stock,20040933,,Health Care,Biotechnology: Pharmaceutical Preparations
AIMDW,Ainos Inc. Warrants,20040933,,Health Care,Biotechnology: Pharmaceutical Preparations
AIN,Albany International Corporation Common Stock,31200000,,Consumer Discretionary,Textiles
AINC,Ashford Inc. (Holding Company) Common Stock,3196773,2014,Consumer Discretionary,Professional Services
AIO,Virtus Artificial Intelligence & Technology Opportunities Fund Common Shares of Beneficial Interest,34340972,2019,Finance,Finance/Investors Services
AIP,Arteris Inc. Common Stock,36073797,2021,Technology,Semiconductors
AIR,AAR Corp. Common Stock,34934956,,Industrials,Aerospace
AIRC,Apartment Income REIT Corp. Common Stock,149223527,2020,Real Estate,Real Estate Investment Trusts
AIRG,Airgain Inc. Common Stock,10407335,2016,Technology,Radio And Television Broadcasting And Communications Equipment
AIRI,Air Industries Group Common Stock,3259366,,Industrials,Military/Government/Technical
AIRS,AirSculpt Technologies Inc. Common Stock,56784968,2021,Health Care,Medical/Nursing Services
AIRT,Air T Inc. Common Stock,2819659,,Consumer Discretionary,Air Freight/Delivery Services
AIRTP,Air T Inc. Air T Funding Alpha Income Trust Preferred Securities,2819660,,Consumer Discretionary,Air Freight/Delivery Services
AIT,Applied Industrial Technologies Inc. Common Stock,38654123,,Industrials,Industrial Machinery/Components
AIU,Meta Data Limited ADS,7305829780,2018,Consumer Discretionary,Educational Services
